video-name,t-start,t-end,label,video-duration,fps,video-num-frames
---9CpRcKoU,0.01,12.64441,Drinking beer,14.014,29.97,419
--0edUL8zmA,5.464840000000001,86.71838000000001,Dodgeball,92.136667,25.0,2302
-1IlTIWPNs4,0.0,86.05315,Shoveling snow,86.006667,30.0,2579
-2VNLsk1s34,16.91897,31.84747,Shot put,212.601667,29.97002997002997,6370
-2VNLsk1s34,75.30599000000001,103.50426999999999,Shot put,212.601667,29.97002997002997,6370
-2VNLsk1s34,139.99615,166.53571000000002,Shot put,212.601667,29.97002997002997,6370
-4WdzYpCJPU,99.4415,160.2137,Archery,203.313333,30.0,6098
-5Yp-vToI2E,52.74244,105.39411000000001,Ballet,116.378333,23.976023976023978,2789
-5Yp-vToI2E,3.1819900000000003,50.36905,Ballet,116.378333,23.976023976023978,2789
-9B2XtqICFw,13.513179999999998,149.79506,Playing badminton,183.984,29.97,5513
-AjZCBMb4qU,33.09697,107.83006999999999,Playing accordion,116.656667,25.0,2915
-AjZCBMb4qU,15.396629999999998,25.03513,Playing accordion,116.656667,25.0,2915
-BVpaPkee2I,10.67615,56.68883,Spinning,96.291667,30.0,2885
-DTxZliHCTE,0.0,2.19521,Mowing the lawn,46.845,30.0,1403
-DTxZliHCTE,8.63449,20.78132,Mowing the lawn,46.845,30.0,1403
-DTxZliHCTE,24.87904,28.24503,Mowing the lawn,46.845,30.0,1403
-DTxZliHCTE,38.26982,46.70431,Mowing the lawn,46.845,30.0,1403
-EKpX0t44pQ,20.71154,97.56607,Getting a tattoo,132.733,30.0,3981
-FbWTFJ3kV0,0.01,47.41398,Sailing,48.853333,25.0,1220
-G-sh-NhYtk,0.0,20.82825,Shoveling snow,20.805,29.97002997002997,622
-G8N5FxjZbw,0.01,110.65333999999999,Playing bagpipes,116.563333,25.0,2913
-HaFSqzE4Nc,1.83695,52.019040000000004,Smoking hookah,53.551,30.0,1603
-JqLjPz-07E,32.42855,58.73376999999999,Getting a haircut,222.54,25.0,5562
-JqLjPz-07E,69.43125,180.86893,Getting a haircut,222.54,25.0,5562
-K_cgWfJxiU,28.75613,83.5732,Kayaking,100.934,29.97,3024
-KbDXeEoQ1E,14.21584,16.800539999999998,Horseback riding,207.028333,29.97002997002997,6203
-KbDXeEoQ1E,49.43237,102.41869,Horseback riding,207.028333,29.97002997002997,6203
-KbDXeEoQ1E,105.64957,115.34218999999999,Horseback riding,207.028333,29.97002997002997,6203
-KbDXeEoQ1E,160.89751,164.77456,Horseback riding,207.028333,29.97002997002997,6203
-KjJxkFUhv4,88.02561,91.69334,Sailing,235.055,25.0,5875
-Kmx-BCAsQc,3.9642,44.31774,Using the pommel horse,65.116,30.0,1951
-L-LiCO1v-s,75.28938000000001,127.2568,Bathing dog,162.44,29.916666666666668,4867
-Pa52Pf_Raw,1.37972,85.88769,Smoking a cigarette,221.006667,29.97002997002997,6622
-Pa52Pf_Raw,113.13718999999999,221.10043,Smoking a cigarette,221.006667,29.97002997002997,6622
-PbWrGLuHT8,7.45936,53.12726,Windsurfing,53.033333,29.97002997002997,1588
-Q03gEypilg,7.120260000000001,196.67744,Using the balance beam,202.919,30.0,6084
-Q9WotFs1MI,5.51657,44.88863,Chopping wood,56.635,30.0,1698
-Q9WotFs1MI,47.55595,47.64663,Chopping wood,56.635,30.0,1698
-SYV9IB-36s,13.395779999999998,197.15833,Putting on makeup,220.055,24.0,5280
-Sp-gOEGy2o,40.78052,210.69936,Starting a campfire,229.296667,29.97002997002997,6871
-V00wKlFJA0,4.55015,84.14171999999999,Playing bagpipes,92.592,29.97,2774
-V5_GMuMzc8,16.55369,190.53635,Getting a haircut,216.501667,24.0,5195
-Xl95IW5H_s,63.38939,148.095,Starting a campfire,178.166667,24.0,4275
-YMpwZkNc2A,29.31255,129.55895,Shaving,162.678333,29.97002997002997,4874
-YPp9kc3XDs,29.7743,106.82185,Playing flauta,167.445,30.0,5020
-YjGbsbDoxs,30.768309999999996,157.38688,Painting,162.306667,30.0,4868
-YreL-4QCLg,20.08138,38.43777,Playing lacrosse,41.608,29.97,1246
-aWU5Yj_OPw,0.40026999999999996,14.645270000000002,Playing piano,15.0,30.0,449
-bzI8_hCbWk,16.94699,43.99371,Dodgeball,219.358333,29.97002997002997,6573
-bzI8_hCbWk,69.32861,80.28424,Dodgeball,219.358333,29.97002997002997,6573
-bzI8_hCbWk,99.11423,108.70041,Dodgeball,219.358333,29.97002997002997,6573
-bzI8_hCbWk,132.32349,141.5673,Dodgeball,219.358333,29.97002997002997,6573
-c71seS8bWk,196.50900000000001,201.16188,Drinking coffee,213.321667,29.97002997002997,6392
-c71seS8bWk,207.80886999999998,210.13531,Drinking coffee,213.321667,29.97002997002997,6392
-cApkmTI3F8,0.01,18.06012,Drinking beer,18.939,10.0,186
-fBTCykx4gM,41.198209999999996,81.42705,Brushing teeth,103.47,29.97,3100
-fLJHBqizNM,8.76131,57.734790000000004,Using parallel bars,72.725,29.97002997002997,2176
-fjUWhSM6Hc,157.40636999999998,169.52827,Javelin throw,198.088333,25.0,4951
-fjUWhSM6Hc,31.275609999999997,148.4051,Javelin throw,198.088333,25.0,4951
-h3NbdE8N9M,8.39368,154.34337,Playing lacrosse,179.346,29.97,5374
-lER_VO9LUo,0.32793,12.774989999999999,Walking the dog,25.469,30.0,760
-lER_VO9LUo,16.104770000000002,25.22204,Walking the dog,25.469,30.0,760
-lJS58hyo1c,1.18382,32.67892,Clean and jerk,35.318,30.0,1056
-lV2zo5XsCg,10.24047,17.226960000000002,Grooming horse,30.616,29.97002997002997,916
-nskwoky7vk,119.52237,147.02751999999998,Playing accordion,160.28,25.0,4006
-s1MQAiOMeY,31.823240000000002,71.64603000000001,Sailing,125.851667,25.0,3145
-s1MQAiOMeY,31.823240000000002,71.64603000000001,Sailing,125.851667,25.0,3145
-sXrwv7C5CI,5.23749,49.16487,Using parallel bars,54.101667,29.97002997002997,1620
-t2ikmhg9_w,24.892039999999998,92.88982,Vacuuming floor,194.513333,29.97002997002997,5828
-t2ikmhg9_w,118.69255,140.85254,Vacuuming floor,194.513333,29.97002997002997,5828
-tv6laq1ic0,2.4876099999999997,54.98485,Getting a tattoo,55.05,30.0,1647
-tvhSol-wTs,33.524570000000004,99.78721999999999,Playing squash,126.036667,29.97002997002997,3776
-ucwgrxTBEg,64.27649,183.79764,Tai chi,192.959,29.97,1637
-ux1hQSR1AM,13.62512,50.256159999999994,Using the pommel horse,53.59,29.97002997002997,1605
-v-Zail6TNw,3.42549,17.31019,Playing harmonica,32.066667,29.97002997002997,960
-v-Zail6TNw,19.09856,29.59038,Playing harmonica,32.066667,29.97002997002997,960
-vDMeHr1ZfI,55.03819,97.5677,Kayaking,228.995,29.97002997002997,6862
-vDMeHr1ZfI,109.3616,125.44418,Kayaking,228.995,29.97002997002997,6862
-vDMeHr1ZfI,130.80505,160.82588,Kayaking,228.995,29.97002997002997,6862
-vDMeHr1ZfI,180.12498,189.41715,Kayaking,228.995,29.97002997002997,6862
-vqefJDOxkw,0.14126,6.03662,Triple jump,5.966667,30.0,178
-wFNUGYf298,16.77686,224.06099999999998,Doing kickboxing,224.048333,25.0,5600
-wcSkAAeOK8,69.04558,221.52635,Spinning,224.767,29.97002997002997,6732
-y5p8UMdM20,15.402289999999999,17.38259,Springboard diving,141.06,29.97002997002997,4226
-y5p8UMdM20,27.28793,30.36883,Springboard diving,141.06,29.97002997002997,4226
-y5p8UMdM20,32.78953,34.10991,Springboard diving,141.06,29.97002997002997,4226
-y5p8UMdM20,40.49177,47.09369,Springboard diving,141.06,29.97002997002997,4226
-y5p8UMdM20,52.81535,55.23605,Springboard diving,141.06,29.97002997002997,4226
-y5p8UMdM20,62.718230000000005,65.359,Springboard diving,141.06,29.97002997002997,4226
